trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
576,False,"{'a': 0.85, 'e': 0.05573070148010844}",30,6,35.49536075901044,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.85, 'e': 0.0554520479727079}",30,12,32.720958353620304,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.85, 'e': 0.05517478773284436}",25,9,27.85334553420659,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.85, 'e': 0.05489891379418013}",25,18,13.147897157399633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.85, 'e': 0.054624419225209234}",25,12,27.265667223762996,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.85, 'e': 0.05435129712908319}",20,11,19.03155798029152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.85, 'e': 0.05407954064343777}",25,13,20.783073545112224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.85, 'e': 0.053809142940220586}",30,4,42.81728016722589,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.85, 'e': 0.05354009722551948}",20,11,18.275545494290203,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.85, 'e': 0.05327239673939188}",20,14,10.349971262151787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.85, 'e': 0.053006034755694924}",20,6,16.945849218629668,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.85, 'e': 0.05274100458191645}",25,16,17.14061336761202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.85, 'e': 0.05247729955900687}",20,16,8.514389520346896,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.85, 'e': 0.05221491306121183}",20,13,9.55219614088147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.85, 'e': 0.05195383849590577}",20,12,13.36788079650421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.85, 'e': 0.051694069303426245}",20,0,27.762212882859444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.85, 'e': 0.051435598956909113}",30,12,25.848247219115454,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.85, 'e': 0.05117842096212456}",25,3,33.17931235096192,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.85, 'e': 0.050922528857313944}",30,12,32.996478343761595,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.85, 'e': 0.050667916213027374}",25,11,22.239666358165792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.85, 'e': 0.050414576631962235}",20,7,9.980445059834508,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.85, 'e': 0.05016250374880243}",25,14,20.702469189559793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.85, 'e': 0.04991169123005841}",25,20,8.603545477759845,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.85, 'e': 0.049662132773908116}",30,18,20.188172185574228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.85, 'e': 0.04941382211003858}",35,13,25.632327521654915,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
601,False,"{'a': 0.85, 'e': 0.04916675299948838}",25,6,22.633400293041987,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
602,False,"{'a': 0.85, 'e': 0.04892091923449094}",25,0,13.090864795826308,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
603,False,"{'a': 0.85, 'e': 0.04867631463831849}",35,20,27.535060744766042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.85, 'e': 0.048432933065126894}",30,19,15.682969792070873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.85, 'e': 0.04819076839980126}",25,19,11.109757715939436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.85, 'e': 0.047949814557802256}",25,3,32.41713703575773,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.85, 'e': 0.04771006548501324}",25,12,16.98132252150963,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
608,False,"{'a': 0.85, 'e': 0.04747151515758818}",20,9,19.29832057168426,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.85, 'e': 0.04723415758180024}",20,10,17.961327026863373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.85, 'e': 0.046997986793891236}",30,17,22.37510369263439,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.85, 'e': 0.046762996859921774}",35,24,21.228250789391378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.85, 'e': 0.04652918187562217}",20,16,6.647026817950606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.85, 'e': 0.04629653596624406}",20,10,4.99458939570569,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
614,False,"{'a': 0.85, 'e': 0.04606505328641284}",20,12,3.909633332941545,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
615,False,"{'a': 0.85, 'e': 0.04583472801998077}",20,0,30.22876993917995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
616,False,"{'a': 0.85, 'e': 0.04560555437988087}",20,6,15.45109831178551,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
617,False,"{'a': 0.85, 'e': 0.045377526607981465}",20,8,9.84785856864126,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
618,False,"{'a': 0.85, 'e': 0.04515063897494156}",25,15,15.379421428768204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.85, 'e': 0.04492488578006685}",30,22,15.585072177384658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.85, 'e': 0.04470026135116652}",25,15,16.99565532421729,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.85, 'e': 0.04447676004441068}",35,13,37.31092736753543,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.85, 'e': 0.044254376244188626}",20,2,28.49535572181334,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.85, 'e': 0.04403310436296768}",30,9,35.09499348819441,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.85, 'e': 0.043812938841152844}",20,9,19.831902383686298,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.85, 'e': 0.043593874146947084}",20,6,22.660190722000195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.85, 'e': 0.043375904776212344}",25,16,9.7792679386452,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.85, 'e': 0.043159025252331285}",30,10,34.096347586470436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.85, 'e': 0.042943230126069626}",20,10,15.969246614799003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.85, 'e': 0.04272851397543928}",25,8,30.244545143179668,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.85, 'e': 0.04251487140556208}",20,12,14.105734591989952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.85, 'e': 0.04230229704853427}",25,11,25.812152353094774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.85, 'e': 0.0420907855632916}",25,19,7.782707744830853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.85, 'e': 0.041880331635475145}",25,15,16.456019645735417,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.85, 'e': 0.041670929977297766}",35,21,27.41712809315937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.85, 'e': 0.04146257532741128}",30,18,21.255537736842957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.85, 'e': 0.04125526245077422}",20,11,16.34809175508182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.85, 'e': 0.04104898613852035}",25,13,20.085664914036546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.85, 'e': 0.040843741207827744}",30,2,40.13949144835077,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.85, 'e': 0.04063952250178861}",20,12,15.30949149617772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.85, 'e': 0.040436324889279666}",25,8,27.455265262610485,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.85, 'e': 0.040234143264833266}",20,11,16.05492479046775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.85, 'e': 0.0400329725485091}",20,9,8.871008440921228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.85, 'e': 0.03983280768576655}",20,2,-12.132475146853515,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
