trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",20,0,-4.728591519483006,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,0,-98.91973344642876,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",25,0,2.977814672830684,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",20,0,-25.899627761907055,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,0,-86.57235205072043,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",20,0,-52.8658322348689,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,0,-171.46432660852287,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,0,-70.70645044965818,"{0: 11, 1: 13, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",25,0,-75.22471467998129,"{0: 12, 1: 12, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",25,0,-62.96890160055188,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",20,0,-119.0975827824123,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,0,-34.48152575443083,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",30,0,-104.47417399721117,"{0: 16, 1: 12, 2: 0, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",25,0,-67.36809672990829,"{0: 14, 1: 10, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",25,0,-38.84916110283722,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",20,0,-28.371215895711273,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,0,-45.01321519248162,"{0: 13, 1: 11, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,0,-37.683213735330376,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.046069798986951946}",20,0,-48.73141752647446,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0.043766309037604346}",25,0,-61.84857245700323,"{0: 11, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0.04157799358572413}",25,0,-31.322031111339943,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.03949909390643792}",30,0,-75.6386901372464,"{0: 13, 1: 16, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0.03752413921111602}",25,0,-61.06318691046472,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0.03564793225056022}",20,0,-29.30628096287743,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0.033865535638032206}",20,0,-36.474703656553444,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0.03217225885613059}",25,0,-46.344629489603264,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0.030563645913324063}",25,0,-44.84841170075622,"{0: 14, 1: 9, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0.02903546361765786}",25,0,-69.83679862359358,"{0: 14, 1: 10, 2: 0, 3: 0, 4: 1}",0
